name,packageid,tag,store
Chrome,Google.Chrome,browser,
Brave,Brave.Brave,browser,
Firefox,Mozilla.Firefox,browser,
PowerShell Core,Microsoft.PowerShell,shell,
Nuget CLI,Microsoft.NuGet,cli,
AWS CLI,Amazon.AWSCLI,cli,
AWS CLI Session Manager Plugin,Amazon.AWSCLI.SessionManagerPlugin,cli,
Azure CLI,Microsoft.AzureCLI,cli,
Github CLI,GitHub.cli,cli,
NVM,CoreyButler.NVMforWindows,cli,
pnpm,PNPM.PNPM,cli,
yarn,Yarn.Yarn,cli
Terraform,HashiCorp.Terraform,cli,
Kind,Kubernetes.Kind,cli,
VSCode,Microsoft.VisualStudioCode,editor,
Cursor,Anyshpere.Cursor,editor,
Visual Studio,Microsoft.VisualStudio.2022.Professional,editor,
Android Studio,Google.AndroidStudio,editor,
NeoVim,Neovim.Neovim,editor,
DotUltimate,JetBrains.DotUltimate,editor,
DataGrip,JetBrains.DataGrip,editor,
IDEA,JetBrains.IntelliJIdea.Ultimate,editor,
BeekeeperStudio,beekeeper-studio.beekeeper-studio,editor,
JDK 17,Microsoft.OpenJDK.17,sdk,
.NET3.1,Microsoft.DotNet.SDK.3_1,sdk,
.NET5,Microsoft.DotNet.SDK.5,sdk,
.NET6,Microsoft.DotNet.SDK.6,sdk,
.NET7,Microsoft.DotNet.SDK.7,sdk,
.NET8,Microsoft.DotNet.SDK.8,sdk,
.NET9,Microsoft.DotNet.SDK.9,sdk,
Python 3.12,Python.Python.3.12,sdk,
Rust,Rustlang.Rustup,sdk,
Go,GoLang.Go,sdk,
.NET 4.8 Dev Kit,Microsoft.DotNet.Framework.DeveloperPack_4,build-tool,
Make,ezwinports.make,build-tool,
Android Sdk,Google.PlatformTools,build-tool,
Docker Desktop,Docker.DockerDesktop,tool,
SSMS,Microsoft.SQLServerManagementStudio,tool,
Redis Insights,xp8k1ghcb0f1r2,tool,msstore
ShellCheck,koalaman.shelldcheck,tool,
shfmt,mvdan.shfmt,tool,
Postman,Postman.Postman,tool,
SoapUI,SmartBear.SoapUI,tool,
PerfView,Microsoft.PerfView,tool,
WinSCP,WinSCP.WinSCP,tool,
Helm,Helm.Helm,tool,
ProcMon,Microsoft.Sysinternals.ProcessMonitor,tool,
RDM,Devolutions.RemoteDesktopManager,tool,
JetBrains Toolbox,JetBrains.Toolbox,tool,
Curl,cURL.cURL,tool,
UV,astral-sh.uv,tool,
Conda,Anaconda.Anaconda3,tool,
7Zip,7zip.7zip,tool,
PowerToys,Microsoft.PowerToys,tool,
AHK,AutoHotkey.AutoHotkey,tool,
Fzf,junegunn.fzf,tool,
Ripgrp,BurntSushi.ripgrep.GNU,tool,
Wget,GNU.Wget2,tool,
Fd,sharkdp.fd,tool,
Eza,eza-community.eza,tool,
Unzip,GnuWin32.UnZip,tool,
Gzip,GnuWin32.GZip,tool,
Bottom,Clement.bottom,tool,
Jq,jqlang.jq,tool,
Chezmoi,twpayne.chezmoi,tool,
Oh My Posh,JanDeDobbeleer.OhMyPosh,tool
Windhawk,RamenSoftware.Windhawk 1.6.1,tool
Bitwarden,Bitwarden.Bitwarden,tool,
Bitwarden CLI,Bitwarden.CLI,tool,
ChatGPT,9nt1r1c2hh7j,tool,msstore
Custom Context Menus,9PC7BZZ28G0X,tool,msstore
Obsidian,Obsidian.Obsidian,tool,
Steam,Valve.Steam,games,
Discord,Discord.Discord,chat,
Slack,SlackTechnologies.Slack,chat,
Zoom,Zoom.Zoom,chat,
CorePack,corepack,npm,
Angular CLI,@angular/cli,npm,
Tsx,tsx,npm,
Yo,yo,npm,
Vsce,vsce,npm,
Nx,nx,npm,
Turbo,turbo,npm,
